word, meaning, partOfSpeech
refurnish, furnish with new or different furniture, verb
faring, proceed or get along, verb
desulphurize, remove sulfur from, verb
anathematize, curse or declare to be evil or anathema or threaten with divine punishment, verb
misunderstand, interpret in the wrong way, verb
compassing, bring about; accomplish, verb
shush, silence (someone) by uttering `shush!', verb
shelving, hold back to a later time, verb
unmake, deprive of certain characteristics, verb
brachiate, swing from one hold to the next, verb
chide, censure severely or angrily, verb
unburden, free or relieve (someone) of a burden, verb
outface, overcome or cause to waver or submit by (or as if by) staring, verb
inclose, surround completely, verb
merited, be worthy or deserving, verb
stepping, shift or move by taking a step, verb
foment, try to stir up public opinion, verb
hallowed, render holy by means of religious rites, verb
underquote, offer for sale at a price lower than the market price, verb
sterilize, make free from bacteria, verb
enplane, board a plane, verb
behave, behave in a certain manner; show a certain behavior; conduct or comport oneself, verb
overstock, stock excessively, verb
goffering, make wavy with a heated goffering iron, verb
lumping, put together indiscriminately, verb
compacted, have the property of being packable or of compacting easily, verb
inseminate, place seeds in or on (the ground), verb
chiromance, divine by reading someone's palms, verb
decarburize, remove carbon from (an engine), verb
zincing, coat or cover with zinc, verb
outflanking, go around the flank of (an opposing army), verb
weeded, clear of weeds, verb
irk, irritate or vex, verb
feigned, make believe with the intent to deceive, verb
loosing, grant freedom to; free from confinement, verb
expedite, speed up the progress of; facilitate, verb
diabolize, turn into a devil or make devilish, verb
raised, raise the level or amount of something, verb
portend, indicate by signs, verb
niggling, worry unnecessarily or excessively, verb
slavering, let saliva drivel from the mouth, verb
devoice, utter with tense vocal chords, verb
disclaim, renounce a legal claim or title to, verb
dejected, lower someone's spirits; make downhearted, verb
carburize, unite with carbon, verb
depose, force to leave (an office), verb
tabled, hold back to a later time, verb
moil, work hard, verb
occidentalize, make western in character, verb
unstuffing, cause to become unblocked, verb
anchored, fix firmly and stably, verb
preordain, foreordain or determine beforehand, verb
underlining, give extra weight to (a communication), verb
diagonalize, transform a matrix to a diagonal matrix, verb
goggle, look with amazement; look stupidly, verb
seducing, induce to have sex, verb
anagrammatize, read letters out of order to discover a hidden meaning, verb
rectified, math: determine the length of, verb
decalcify, lose calcium or calcium compounds, verb
shaken, move or cause to move back and forth, verb
revealed, make visible, verb
befit, accord or comport with, verb
cavings, hollow out as if making a cave or opening, verb
mortify, practice self-denial of one's body and appetites, verb
caviling, raise trivial objections, verb
ammonify, treat with ammonia; cause to undergo ammonification, verb
trusting, have confidence or faith in, verb
knew, be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about, verb
spied, catch sight of, verb
uncovered, make visible, verb
uncouple, disconnect or separate, verb
mauling, split (wood) with a maul and wedges, verb
drawn, cause to move by pulling, verb
antiquing, shop for antiques, verb
unsoldering, remove the soldering from, verb
doting, be foolish or senile due to old age, verb
sabered, cut or injure with a saber, verb
figured, judge to be probable, verb
citrated, cause to form a salt or ester of citric acid, verb
unweaving, undo strands that have been woven together, verb
upping, raise, verb
disparage, express a negative opinion of, verb
varnishing, cover with varnish, verb
conceal, prevent from being seen or discovered, verb
cannibalize, eat human flesh, verb
inspirit, infuse with spirit, verb
saccharify, sweeten with sugar, verb
perfumed, fill or impregnate with an odor, verb
arbitrate, act between parties with a view to reconciling differences, verb
unravel, become or cause to become undone by separating the fibers or threads of, verb
idolize, love unquestioningly and uncritically or to excess; venerate as an idol, verb
embarrassed, cause to be embarrassed; cause to feel self-conscious, verb
provided, give something useful or necessary to, verb
persecute, cause to suffer, verb
brominate, react with bromine, verb
undertook, enter upon an activity or enterprise, verb
carking, disturb in mind or make uneasy or cause to be worried or alarmed, verb
hydrated, supply water or liquid to in order to maintain a healthy balance, verb
geared, set the level or character of, verb
iodize, treat with iodine, verb
landed, reach or come to rest, verb
grilled, cook over a grill, verb
swanking, display proudly; act ostentatiously or pretentiously, verb
anodize, coat a metal with an oxide coat, verb
disordered, disturb in mind or make uneasy or cause to be worried or alarmed, verb
requite, make repayment for or return something, verb
delaying, cause to be slowed down or delayed, verb
commentate, make a commentary on, verb
exsiccate, lose water or moisture, verb
splayed, spread open or apart, verb
napped, take a siesta, verb
sapping, deplete, verb
fictionalize, make into fiction, verb
haunted, follow stealthily or recur constantly and spontaneously to, verb
invigorate, heighten or intensify, verb
disembark, go ashore, verb
summed, be a summary of, verb
unsexing, deprive of sex or sexual powers, verb
repress, put down by force or intimidation, verb
sainted, hold sacred, verb
approbate, approve or sanction officially, verb
ideate, form a mental image of something that is not present or that is not the case, verb
misguide, lead someone in the wrong direction or give someone wrong directions, verb
bounded, move forward by leaps and bounds, verb
subtract, make a subtraction, verb
linearize, make linear or get into a linear form, verb
elapse, pass by, verb
obtrude, push to thrust outward, verb
skippered, work as the skipper on a vessel, verb
aline, place in a line or arrange so as to be parallel or straight, verb
stamping, walk heavily, verb
